,0,1
53,"I noticed that you marked up your MSR by about 43% this quarter. But it appears that the gain was entirely offset by hedging. Could you help us understand how that changed this quarter and how it flowed through the income statement?Was there a change in accounting regarding the MSR, or was that just – Rob, I’m not sure...","{'neg': 0.074, 'neu': 0.802, 'pos': 0.123, 'compound': 0.5023}"
54,"I had a follow-up question again, I guess, on the commercial loan side. You talked about how strong December was. I wanted to, I guess, follow-up and think about, if we’re looking at the linked quarter, it does look like loan growth was down a little bit from the linked quarter, and actually it was a little softer in the retail, wholesale, and manufacturing side of things. Overall, on a y-over-y basis, it’s only up 2.8%. So I guess are you seeing more extensions of lines of credit, maybe the utilization rates have gone down? And is there any...","{'neg': 0.0, 'neu': 0.887, 'pos': 0.113, 'compound': 0.875}"
55,"Thinking about your commercial loan growth, you’re continuing to have the sort of runoff in the non-strategic and some of those consumer books, which weigh down the overall consumer. Do you think the 5% – I guess, would it be a 5% plus growth you’ll get from commercial and maybe the consumer would be a positive this quarter or maybe just less of a negative, that gets you to that overall mid-single?","{'neg': 0.045, 'neu': 0.838, 'pos': 0.117, 'compound': 0.6573}"
56,"As you pointed out, you met a lot of your objectives for the year. And I guess it points to the question specifically in fixed income, given that you've maintained that target at $4 billion or a billion dollars quarterly, and you – even in what was a terrible year last year, you managed $4.3 billion I think, and this year, you did $5.1 billion. It kind of begs the question of whether you wouldn't raise your sights on that?Okay. Fair enough. On the same – by the same token, looking at slide 13 where you show you've got a 23% to 25% margin target in Wealth Management and then you've got a question mark on 2018 and 2019, it looks as if you've drawn the 2018 bar a bit higher though. Maybe you can give us the thought process there and what you might aspire to by the end of the year?","{'neg': 0.021, 'neu': 0.94, 'pos': 0.039, 'compound': 0.4137}"
57,"And maybe I can just follow-up on one of the items that you mentioned there in terms of interest rate sensitivity. Your interest rate sensitivity disclosure feels somewhat mechanistic; it's just on the bank. And I was wondering if you had maybe a more holistic view for Wealth Management in particular as to what, say, a parallel shift in the yield curve of 25 basis points or 50 basis points should do, all other things equal, for the Wealth Management business?","{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.9081}"
58,"Hi. Good morning. So I wanted to ask a follow up relating to, Jon, your last remarks concerning ROE targets for 2017. You've previously indicated at the last strategic update of hitting the 9% was really contingent on delivering mid-single digit revenue growth per year and it looks like consensus is modeling somewhere closer to low single digit. So instead of your 3% to 5%, somewhere closer to 2%, but given the significant progress you've made on the cost side I'm just wondering you can still hit the 9% even if revenue outlook materializes more in line with consensus?","{'neg': 0.015, 'neu': 0.882, 'pos': 0.103, 'compound': 0.7935}"
59,"Got it. And just one quick follow up really into the Wealth Management comp guidance you guys are giving. Just looking at the business the comp ratio did tick down slightly this year, about 50 bips, so continuing to grind that lower, but admittedly the mix, particularly towards higher-margin NII, would've suggested that maybe we should've seen a little bit more progress. And, James, you actually alluded to the competitive dynamics, in your prepared remarks, that could drive intensifying competition. I just want to get a sense as to what factors have impacted your ability to drive more comp leverage? And maybe how much incremental margin upside we could see from higher rates alluding to Guy's question about the rising column chart in terms of margin progress beyond 2017?And how far along are you in terms of those investments? Are they largely completed at this point? Or should we expect that to be ongoing?","{'neg': 0.01, 'neu': 0.851, 'pos': 0.14, 'compound': 0.9614}"
60,"Hi. I just want a clarification. Your ROE target of 9%, 11% is for the calendar year 2017 and it's not contingent on anything right now. You're committed to getting that ROE?","{'neg': 0.0, 'neu': 0.892, 'pos': 0.108, 'compound': 0.34}"
61,"And then as far as your progress in trading, your gaining market share in equities for sure and it looks like a little bit in fixed income. Is that from U.S. banks or European banks? And if it's European banks, is that sustainable?","{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.8992}"
62,"And then last follow up. James, you mentioned a 10-year retention goal for wealth management personnel. Can you just summarize what that's about and when that could impact results?","{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.4939}"
63,"Hi. Thanks. On the $17 billion of fee-based flows, I'm curious if there's any new client money in there? Or is that all a result of conversion of current client? And within that, I'm curious if that's just all natural progression as you've basically doubled the fee-based assets over the last seven years? And where you think that natural resting ground will be as DOL may be coming into play in a couple of months?While we're on that topic, let's just say that DOL goes as planned, meaning there's no dilution, there's no delay, the April 10 deadline – is that an event that changes behavior ahead of it on this fee-based discussion? Or is it just natural progression – the date is just a start date?","{'neg': 0.049, 'neu': 0.806, 'pos': 0.146, 'compound': 0.9074}"
64,"Good morning. Thanks for taking the question. One quick one here on ROE, or actually it might not be all that quick. So I get it that there's some uncertainty in the rev environment, but you guys highlighted it seems like momentum continues to improve. Specifically, FICC looks stable, exceeding targets with lower capital, equity is strong, NII's starting to benefit from rate uplift and risk appetite is an expanding and transactional revenues are starting to improve in Wealth Management. And then finally, we've got the outlook for potential changes from a new administration that's highlighted regulation and the desire to cut back. So in light of all of that, how should we think about the ROE guide? It certainly seems like the low end given those factors would be quite easy for you. And how should we think about that new administration and potential benefits from not so regulatory burdens?","{'neg': 0.065, 'neu': 0.669, 'pos': 0.266, 'compound': 0.9911}"
65,"Hi. Good morning. Thanks for taking my questions. I was wondering if we could return to the NII sensitivity? It would be nice to get some measure of how much our NII would improve for, say, a 100 basis point upward shift in the curve. I think you did something along those lines in the 1Q fixed income presentation last year, so perhaps you can give an update on that? And then just together with that, perhaps give a sense of how sensitive you are to the short end increase versus long end. Are you predominantly sensitive to short end increasing and then hoping that that short end increases in tandem with what the curve is indicating?","{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.9445}"
66,"And then, sorry, just a second question if I may. Your CET1 ratio was virtually unchanged in the quarter despite the strong earnings and I was just wondering if you could talk a bit more about any negative OTI [ph] impacts coming from the net debt evaluation adjustments. Could you also talk about how you view excess capital? I think everyone is on the same page as seeing you as having excess capital but the question mark is how much. What are you waiting for in terms of having that return to shareholders more clarity on the regulatory front, maybe the stress capital bottom becoming more a tangible part of capital ratios if you could talk about that a bit more that would be great.","{'neg': 0.083, 'neu': 0.844, 'pos': 0.073, 'compound': 0.4032}"
67,"All right. Thanks, guys. Just a few on Wealth Management and some of these are just cleanups but I think, John, you mentioned expense items in this quarter anyways related something on tax, some tax issues but I just wanted to make sure we have that amount if you had it.","{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.7184}"
68,"And then on the net interest income, like any color on just given the strength in the quarter, how much was maybe non-core like prepayment stuff like that. And I think in the past you mentioned I think it was 150 basis points was like 1.1 billion PBT but any update just on the sensitivity there?","{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.7964}"
69,"Hey. Thanks. Good morning, James, Jon. A couple quick ones here. So in Wealth Management, just want to follow up on James' comment about one leg of the strategy as a move towards focusing on clients that are interested in a full digital relationship. I'm just curious if we should think about that as maybe expanding the customer base to smaller levels of investable assets just because those will become more economic? Just trying to think about what that comment means?","{'neg': 0.0, 'neu': 0.801, 'pos': 0.199, 'compound': 0.9397}"
70,"Got it. Okay. That's great color. And then just staying on GWM, it looks like a slight downtick in FA head count. On the other hand, you had – it looks like a record quarter of productivity, which was good to see. I'm just curious if we can get any thoughts around FA head count trends from here, the outlook for recruiting? You know, I suspect maybe the DOL has had a load of a negative impact on that, but curious kind of where we go from here?","{'neg': 0.043, 'neu': 0.779, 'pos': 0.179, 'compound': 0.8611}"
71,"Thanks very much. So my question is basically about the levers to – in which optimize can be – capital can be more fully optimized. And I guess the two parts of my question are on the one hand, as long as the CCAR process exists, obviously there will be constraints on how much capital presumably can be returned in any given period of time.And on the other hand, you've sort of right-sized your FICC footprint, and so it's now consuming less RWA than it has historically. So is there anything that can be done in which RWA can be generated in a way that consumes this capital and accretes then to revenue that's different than what the current experience is?","{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.9439}"
72,So it sounds like in 2017 you think there might be more opportunity for balance sheet growth?,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.8155}"
73,"In the past, more recently you've talked about the deposit beta [ph] within Wealth Management and I remember [ph] number 45 for 100 basis points. I wondered whether you could update us on that, whether that's changed because it's some time since you've talked about it.","{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.5423}"
74,"And the second area was Brexit strategy. Wondered if you could talk again about where you're going on that front and what your options could be if there is, as it looks like, a single market exit?","{'neg': 0.0, 'neu': 0.933, 'pos': 0.067, 'compound': 0.3612}"
75,"There's been a lot of focus on the asset sensitivity within the Wealth Management unit specifically but I was wondering if you could comment on how the overall balance sheet is positioned for rising rates including the institutional securities unit and investment management, just thinking about the aggregate balance sheet.","{'neg': 0.0, 'neu': 0.871, 'pos': 0.129, 'compound': 0.6858}"
76,"Then the follow up in the institutional securities, we saw the non-trust income there go down but is that more just a mix shift in terms of how clients are paying more in fees versus the interest income? Or is there more of a liability sensitive position there?","{'neg': 0.051, 'neu': 0.834, 'pos': 0.116, 'compound': 0.5175}"
77,"You had a very impressive quarter in terms of earnings growth, clearly in the fourth quarter. But at the end of the day, your common equity was down, which has been true of every one of the major universal banks. And I'm just wondering, if interest rates are expected to rise on a continuous basis, I guess certainly 2017 and beyond. How do you get common equity to go up?But if interest rates keep rising and if the impact is similar to what you saw in the fourth quarter, your common equity's going to continue to flow. And if your common equity continues to flow, in answer to an earlier question, you indicated that you'd be able to expand the size of the balance sheet to take advantage of new opportunities. But you won't be able to do that if you can't get common equity to stabilize or rise in a rising interest rate environment. In other words, you may be able to get an increased benefit in terms of asset sensitivity from some of your business lines. But from the balance sheet as a whole, the piggyback is smaller today or on, let's say December 31 than it was on September 30. How do people benefit if the piggybank keeps getting smaller?","{'neg': 0.0, 'neu': 0.801, 'pos': 0.199, 'compound': 0.9931}"
78,"In investment management, obviously, the fourth quarter numbers were a little bit skewed by the loss. First of all, can you tell us a little more detail as to why you took those charges?","{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.5267}"
79,"And in the bigger picture, you're still above the 40% target for comp to net revenues in that business. And how confident are you, you can get to that by 2017?","{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.4939}"
80,"You guys have made great progress on the thick RWA, I think almost at your end state already, well ahead of schedule. Just before I guess you stopped disclosing it, can you kind of walk us through on the SLR side? I think you still are less than halfway to your end state. Why is that slower than the thick of the RWA side? And is the end state still your target? And how do we get there?So what you're saying is where you are from an SLR perspective today is you're not going to get much more progress from here?","{'neg': 0.018, 'neu': 0.864, 'pos': 0.119, 'compound': 0.897}"
81,"Hey, Mike. It seems like you've been the most optimistic on this call then you have I think since you started. How do we think about that in the context of sort of that low modest revenue growth that you talked about? Is it simply just the drag from holdings? Or are you just being conservative? Just trying to get a sense of that dichotomy.","{'neg': 0.061, 'neu': 0.822, 'pos': 0.117, 'compound': 0.6046}"
82,"Okay. That's helpful. And maybe just a follow up on the efficiency ratio target for 2018 at 55, mid-50s for the whole Citigroup. Is there – what kind of a revenue growth are you embedding? It doesn't sound like a lot, but I just want to make sure I understand. Is this absolute cost cutting? Or is it sort of expectations of some revenue growth with flat expanses? How do we think about that?","{'neg': 0.042, 'neu': 0.757, 'pos': 0.201, 'compound': 0.8848}"
83,"So just wanted to kick things off, and it may lead to a little bit of a meaty question on the DTA, but it's a topic that a lot of people have focused on. And, John, I know in the past you had spoken to under a territorial tax system with a 10 percentage point reduction in the corporate tax rate that, that would result in a tangible book value write down somewhere in the vicinity of $12 billion, although the capital hit would be substantially less, closer to two. And those impacts that you flag relate to timing DTA specifically, and I wanted to better understand how the foreign tax credits might be affected. Because that is an area where some have suggested under a territorial system they could potentially be at risk.","{'neg': 0.033, 'neu': 0.867, 'pos': 0.1, 'compound': 0.8765}"
